Date,PCH,1D_PCH
03/08/1978,4.25532,-6.12245
03/09/1978,-6.12245,0.00000
03/10/1978,0.00000,-2.17391
03/13/1978,-2.17391,0.00000
03/14/1978,0.00000,2.22222
03/15/1978,2.22222,0.00000
03/16/1978,0.00000,-2.17391
03/17/1978,-2.17391,-2.22222
03/20/1978,-2.22222,0.00000
03/21/1978,0.00000,0.00000
03/22/1978,0.00000,2.27273
03/23/1978,2.27273,.
03/24/1978,.,.
03/27/1978,.,-5.88235
03/28/1978,-5.88235,-2.08333
03/29/1978,-2.08333,2.12766
03/30/1978,2.12766,-6.25000
03/31/1978,-6.25000,-2.22222
04/03/1978,-2.22222,-2.27273
04/04/1978,-2.27273,-2.32558
04/05/1978,-2.32558,2.38095
04/06/1978,2.38095,-2.32558
04/07/1978,-2.32558,2.38095
04/10/1978,2.38095,4.65116
04/11/1978,4.65116,4.44444
04/12/1978,4.44444,2.12766
04/13/1978,2.12766,6.25000
04/14/1978,6.25000,-5.88235
04/17/1978,-5.88235,-4.16667
04/18/1978,-4.16667,-21.73913
04/19/1978,-21.73913,-2.77778
04/20/1978,-2.77778,0.00000
04/21/1978,0.00000,2.85714
04/24/1978,2.85714,5.55556
04/25/1978,5.55556,-2.63158
04/26/1978,-2.63158,-5.40541
04/27/1978,-5.40541,-22.85714
04/28/1978,-22.85714,22.22222
05/01/1978,22.22222,3.03030
05/02/1978,3.03030,8.82353
05/03/1978,8.82353,0.00000
05/04/1978,0.00000,2.70270
05/05/1978,2.70270,-2.63158
05/08/1978,-2.63158,-2.70270
05/09/1978,-2.70270,0.00000
05/10/1978,0.00000,-5.55556
05/11/1978,-5.55556,5.88235
05/12/1978,5.88235,2.77778
05/15/1978,2.77778,0.00000
05/16/1978,0.00000,-5.40541
05/17/1978,-5.40541,-5.71429
05/18/1978,-5.71429,-6.06061
05/19/1978,-6.06061,0.00000
05/22/1978,0.00000,-3.22581
05/23/1978,-3.22581,-3.33333
05/24/1978,-3.33333,3.44828
05/25/1978,3.44828,6.66667
05/26/1978,6.66667,.
05/29/1978,.,.
05/30/1978,.,.
05/31/1978,.,-3.33333
06/01/1978,-3.33333,3.44828
06/02/1978,3.44828,3.33333
06/05/1978,3.33333,-3.22581
06/06/1978,-3.22581,0.00000
06/07/1978,0.00000,3.33333
06/08/1978,3.33333,3.22581
06/09/1978,3.22581,-9.37500
06/12/1978,-9.37500,3.44828
06/13/1978,3.44828,-3.33333
06/14/1978,-3.33333,0.00000
06/15/1978,0.00000,-17.24138
06/16/1978,-17.24138,-16.66667
06/19/1978,-16.66667,0.00000
06/20/1978,0.00000,-55.00000
06/21/1978,-55.00000,0.00000
06/22/1978,0.00000,22.22222
06/23/1978,22.22222,0.00000
06/26/1978,0.00000,27.27273
06/27/1978,27.27273,-7.14286
06/28/1978,-7.14286,15.38462
06/29/1978,15.38462,-6.66667
06/30/1978,-6.66667,7.14286
07/03/1978,7.14286,.
07/04/1978,.,.
07/05/1978,.,0.00000
07/06/1978,0.00000,0.00000
07/07/1978,0.00000,0.00000
07/10/1978,0.00000,11.11111
07/11/1978,11.11111,-5.00000
07/12/1978,-5.00000,-5.26316
07/13/1978,-5.26316,-5.55556
07/14/1978,-5.55556,0.00000
07/17/1978,0.00000,0.00000
07/18/1978,0.00000,-5.88235
07/19/1978,-5.88235,0.00000
07/20/1978,0.00000,-50.00000
07/21/1978,-50.00000,25.00000
07/24/1978,25.00000,20.00000
07/25/1978,20.00000,16.66667
07/26/1978,16.66667,-21.42857
07/27/1978,-21.42857,-9.09091
07/28/1978,-9.09091,-10.00000
07/31/1978,-10.00000,0.00000
08/01/1978,0.00000,-55.55556
08/02/1978,-55.55556,225.00000
08/03/1978,225.00000,-7.69231
08/04/1978,-7.69231,50.00000
08/07/1978,50.00000,-11.11111
08/08/1978,-11.11111,6.25000
08/09/1978,6.25000,23.52941
08/10/1978,23.52941,-9.52381
08/11/1978,-9.52381,-15.78947
08/14/1978,-15.78947,6.25000
08/15/1978,6.25000,-70.58824
08/16/1978,-70.58824,-100.00000
08/17/1978,-100.00000,.
08/18/1978,.,50.00000
08/21/1978,50.00000,0.00000
08/22/1978,0.00000,66.66667
08/23/1978,66.66667,-40.00000
08/24/1978,-40.00000,16.66667
08/25/1978,16.66667,-14.28571
08/28/1978,-14.28571,16.66667
08/29/1978,16.66667,-14.28571
08/30/1978,-14.28571,16.66667
08/31/1978,16.66667,71.42857
09/01/1978,71.42857,.
09/04/1978,.,.
09/05/1978,.,-25.00000
09/06/1978,-25.00000,11.11111
09/07/1978,11.11111,20.00000
09/08/1978,20.00000,0.00000
09/11/1978,0.00000,33.33333
09/12/1978,33.33333,-6.25000
09/13/1978,-6.25000,-13.33333
09/14/1978,-13.33333,7.69231
09/15/1978,7.69231,7.14286
09/18/1978,7.14286,6.66667
09/19/1978,6.66667,-12.50000
09/20/1978,-12.50000,28.57143
09/21/1978,28.57143,-5.55556
09/22/1978,-5.55556,11.76471
09/25/1978,11.76471,15.78947
09/26/1978,15.78947,-9.09091
09/27/1978,-9.09091,-10.00000
09/28/1978,-10.00000,-22.22222
09/29/1978,-22.22222,-7.14286
10/02/1978,-7.14286,-7.69231
10/03/1978,-7.69231,-16.66667
10/04/1978,-16.66667,-10.00000
10/05/1978,-10.00000,22.22222
10/06/1978,22.22222,.
10/09/1978,.,.
10/10/1978,.,16.66667
10/11/1978,16.66667,28.57143
10/12/1978,28.57143,-5.55556
10/13/1978,-5.55556,-17.64706
10/16/1978,-17.64706,21.42857
10/17/1978,21.42857,23.52941
10/18/1978,23.52941,-4.76190
10/19/1978,-4.76190,-5.00000
10/20/1978,-5.00000,-5.26316
10/23/1978,-5.26316,16.66667
10/24/1978,16.66667,47.61905
10/25/1978,47.61905,6.45161
10/26/1978,6.45161,3.03030
10/27/1978,3.03030,38.23529
10/30/1978,38.23529,12.76596
10/31/1978,12.76596,47.16981
11/01/1978,47.16981,-11.53846
11/02/1978,-11.53846,-8.69565
11/03/1978,-8.69565,-4.76190
11/06/1978,-4.76190,.
11/07/1978,.,.
11/08/1978,.,0.00000
11/09/1978,0.00000,-4.76190
11/10/1978,-4.76190,-5.00000
11/13/1978,-5.00000,3.50877
11/14/1978,3.50877,-1.69492
11/15/1978,-1.69492,-15.51724
11/16/1978,-15.51724,-4.08163
11/17/1978,-4.08163,0.00000
11/20/1978,0.00000,-2.12766
11/21/1978,-2.12766,30.43478
11/22/1978,30.43478,.
11/23/1978,.,.
11/24/1978,.,0.00000
11/27/1978,0.00000,0.00000
11/28/1978,0.00000,-6.75676
11/29/1978,-6.75676,0.00000
11/30/1978,0.00000,1.44928
12/01/1978,1.44928,-1.42857
12/04/1978,-1.42857,-5.79710
12/05/1978,-5.79710,0.00000
12/06/1978,0.00000,-6.15385
12/07/1978,-6.15385,0.00000
12/08/1978,0.00000,1.63934
12/11/1978,1.63934,-3.22581
12/12/1978,-3.22581,-6.66667
12/13/1978,-6.66667,3.57143
12/14/1978,3.57143,0.00000
12/15/1978,0.00000,25.86207
12/18/1978,25.86207,5.47945
12/19/1978,5.47945,3.89610
12/20/1978,3.89610,2.50000
12/21/1978,2.50000,3.65854
12/22/1978,3.65854,.
12/25/1978,.,.
12/26/1978,.,1.17647
12/27/1978,1.17647,-4.65116
12/28/1978,-4.65116,1.21951
12/29/1978,1.21951,.
01/01/1979,.,.
01/02/1979,.,0.00000
01/03/1979,0.00000,-6.09756
01/04/1979,-6.09756,0.00000
01/05/1979,0.00000,1.29870
01/08/1979,1.29870,-2.56410
01/09/1979,-2.56410,2.63158
01/10/1979,2.63158,-1.28205
01/11/1979,-1.28205,1.29870
01/12/1979,1.29870,-2.56410
01/15/1979,-2.56410,0.00000
01/16/1979,0.00000,-3.94737
01/17/1979,-3.94737,1.36986
01/18/1979,1.36986,2.70270
01/19/1979,2.70270,-2.63158
01/22/1979,-2.63158,1.35135
01/23/1979,1.35135,2.66667
01/24/1979,2.66667,3.89610
01/25/1979,3.89610,-7.50000
01/26/1979,-7.50000,-4.05405
01/29/1979,-4.05405,2.81690
01/30/1979,2.81690,-5.47945
01/31/1979,-5.47945,-2.89855
02/01/1979,-2.89855,-11.94030
02/02/1979,-11.94030,-1.69492
02/05/1979,-1.69492,0.00000
02/06/1979,0.00000,0.00000
02/07/1979,0.00000,5.17241
02/08/1979,5.17241,-3.27869
02/09/1979,-3.27869,.
02/12/1979,.,.
02/13/1979,.,-5.17241
02/14/1979,-5.17241,1.81818
02/15/1979,1.81818,1.78571
02/16/1979,1.78571,.
02/19/1979,.,.
02/20/1979,.,-1.75439
02/21/1979,-1.75439,25.00000
02/22/1979,25.00000,1.42857
02/23/1979,1.42857,0.00000
02/26/1979,0.00000,-1.40845
02/27/1979,-1.40845,2.85714
02/28/1979,2.85714,-2.77778
03/01/1979,-2.77778,1.42857
03/02/1979,1.42857,1.40845
03/05/1979,1.40845,-4.16667
03/06/1979,-4.16667,2.89855
03/07/1979,2.89855,-7.04225
03/08/1979,-7.04225,3.03030
03/09/1979,3.03030,2.94118
03/12/1979,2.94118,-1.42857
03/13/1979,-1.42857,1.44928
03/14/1979,1.44928,-2.85714
03/15/1979,-2.85714,5.88235
03/16/1979,5.88235,-4.16667
03/19/1979,-4.16667,-4.34783
03/20/1979,-4.34783,0.00000
03/21/1979,0.00000,-1.51515
03/22/1979,-1.51515,0.00000
03/23/1979,0.00000,-1.53846
03/26/1979,-1.53846,-3.12500
03/27/1979,-3.12500,3.22581
03/28/1979,3.22581,-4.68750
03/29/1979,-4.68750,0.00000
03/30/1979,0.00000,3.27869
04/02/1979,3.27869,0.00000
04/03/1979,0.00000,-1.58730
04/04/1979,-1.58730,-1.61290
04/05/1979,-1.61290,6.55738
04/06/1979,6.55738,3.07692
04/09/1979,3.07692,-4.47761
04/10/1979,-4.47761,1.56250
04/11/1979,1.56250,0.00000
04/12/1979,0.00000,.
04/13/1979,.,.
04/16/1979,.,-8.95522
04/17/1979,-8.95522,-8.19672
04/18/1979,-8.19672,-5.35714
04/19/1979,-5.35714,1.88679
04/20/1979,1.88679,-3.70370
04/23/1979,-3.70370,-1.92308
04/24/1979,-1.92308,5.88235
04/25/1979,5.88235,-1.85185
04/26/1979,-1.85185,15.09434
04/27/1979,15.09434,-8.19672
04/30/1979,-8.19672,-1.78571
05/01/1979,-1.78571,3.63636
05/02/1979,3.63636,-3.50877
05/03/1979,-3.50877,-1.81818
05/04/1979,-1.81818,-3.70370
05/07/1979,-3.70370,1.92308
05/08/1979,1.92308,1.88679
05/09/1979,1.88679,3.70370
05/10/1979,3.70370,0.00000
05/11/1979,0.00000,1.78571
05/14/1979,1.78571,-3.50877
05/15/1979,-3.50877,-3.63636
05/16/1979,-3.63636,-9.43396
05/17/1979,-9.43396,0.00000
05/18/1979,0.00000,6.25000
05/21/1979,6.25000,5.88235
05/22/1979,5.88235,7.40741
05/23/1979,7.40741,-10.34483
05/24/1979,-10.34483,-5.76923
05/25/1979,-5.76923,.
05/28/1979,.,.
05/29/1979,.,.
05/30/1979,.,.
05/31/1979,.,2.00000
06/01/1979,2.00000,-1.96078
06/04/1979,-1.96078,-4.00000
06/05/1979,-4.00000,-4.16667
06/06/1979,-4.16667,-13.04348
06/07/1979,-13.04348,-12.50000
06/08/1979,-12.50000,-5.71429
06/11/1979,-5.71429,-21.21212
06/12/1979,-21.21212,-3.84615
06/13/1979,-3.84615,0.00000
06/14/1979,0.00000,12.00000
06/15/1979,12.00000,10.71429
06/18/1979,10.71429,-6.45161
06/19/1979,-6.45161,6.89655
06/20/1979,6.89655,3.22581
06/21/1979,3.22581,-9.37500
06/22/1979,-9.37500,-6.89655
06/25/1979,-6.89655,-44.44444
06/26/1979,-44.44444,-20.00000
06/27/1979,-20.00000,25.00000
06/28/1979,25.00000,6.66667
06/29/1979,6.66667,6.25000
07/02/1979,6.25000,5.88235
07/03/1979,5.88235,.
07/04/1979,.,.
07/05/1979,.,0.00000
